query_id,row_time,col_time,gap,use_imci,cost_threshold_label,hybrid_optimizer_label,fann_model_label,sqlQuery
407,0.296787,48.404684,48.107897,0,1,1,1,"SELECT lineitem.l_shipmode, region.r_name, MAX(partsupp.ps_availqty) as agg_0 FROM region JOIN nation ON region.r_regionkey = nation.n_regionkey JOIN supplier ON nation.n_nationkey = supplier.s_nationkey JOIN partsupp ON supplier.s_suppkey = partsupp.ps_suppkey JOIN lineitem ON partsupp.ps_partkey = lineitem.l_partkey AND partsupp.ps_suppkey = lineitem.l_suppkey JOIN orders ON lineitem.l_orderkey = orders.o_orderkey  WHERE partsupp.ps_comment LIKE '%nod%' AND region.r_comment NOT LIKE '%bl%ithely%' AND nation.n_comment NOT LIKE '%sil%ent%' AND partsupp.ps_partkey <= 10683480.554435972 AND nation.n_nationkey <= 0.23682818801719513 AND lineitem.l_extendedprice <= 57844.530893554525 GROUP BY lineitem.l_shipmode, region.r_name ORDER BY lineitem.l_shipmode, region.r_name;"
417,50.424357,12.906235,37.518122,1,1,0,1,"SELECT orders.o_clerk, orders.o_orderdate, orders.o_orderpriority FROM orders WHERE orders.o_orderdate = '1995-02-07';"
435,28.581557,10.216632,18.364924,1,1,0,1,"SELECT orders.o_orderdate, orders.o_orderkey, orders.o_comment FROM orders WHERE orders.o_orderdate = '1995-07-08';"
446,25.180974,1.083018,24.097955,1,1,0,1,"SELECT orders.o_orderdate, orders.o_clerk, orders.o_comment FROM orders WHERE orders.o_orderdate = '1994-07-15';"
519,19.713687,0.733695,18.979993,1,1,0,1,"SELECT orders.o_custkey, orders.o_orderkey, orders.o_shippriority FROM orders WHERE orders.o_orderdate = '1996-07-10';"
535,40.553048,18.425265,22.127783,1,1,0,1,"SELECT orders.o_custkey, orders.o_comment, orders.o_clerk FROM orders WHERE orders.o_orderdate = '1997-09-21';"
561,45.623602,6.689292,38.934310,1,1,1,1,"SELECT part.p_mfgr, part.p_brand, part.p_name FROM part WHERE part.p_type = 'ECONOMY BURNISHED NICKEL';"
576,0.192827,32.902487,32.709660,0,1,1,1,"SELECT part.p_container, MIN(part.p_partkey + supplier.s_suppkey) as agg_0, COUNT(*) as agg_1 FROM orders JOIN lineitem ON orders.o_orderkey = lineitem.l_orderkey JOIN partsupp ON lineitem.l_partkey = partsupp.ps_partkey AND lineitem.l_suppkey = partsupp.ps_suppkey JOIN supplier ON partsupp.ps_suppkey = supplier.s_suppkey JOIN part ON partsupp.ps_partkey = part.p_partkey JOIN customer ON orders.o_custkey = customer.c_custkey JOIN nation ON supplier.s_nationkey = nation.n_nationkey JOIN region ON nation.n_regionkey = region.r_regionkey  WHERE nation.n_name LIKE '%UNITED%' AND lineitem.l_shipdate = '1996-12-07' AND region.r_regionkey >= 1.1509127268224253 AND part.p_container LIKE '%CAS%E%' AND orders.o_orderstatus IN ('O', 'F', 'P') AND customer.c_mktsegment IN ('HOUSEHOLD', 'FURNITURE') AND part.p_retailprice <= 1102.4664543966244 AND partsupp.ps_availqty >= 1750.1398695958665 AND (lineitem.l_comment NOT LIKE '%f%oxes.%' OR lineitem.l_linestatus IN ('O')) AND nation.n_comment IN ('s. ironic, unusual asymptotes wake blithely r', 'l platelets. regular accounts x-ray: unusual, regular acco', 'eans boost carefully special requests. accounts are. carefull', 'y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be', 'nic deposits boost atop the quickly final requests? quickly regula') AND nation.n_nationkey <= 5.269362029256352 AND customer.c_custkey <= 11314901.237600654 AND supplier.s_suppkey >= 646000.4215682778 AND customer.c_comment LIKE '%ac%counts.%' AND orders.o_orderstatus = 'O' AND nation.n_name NOT LIKE '%UNITED%' AND orders.o_orderpriority LIKE '%5-L%OW%' AND lineitem.l_quantity <= 44.999682696385264 AND lineitem.l_discount <= 0.08828307259365184 GROUP BY part.p_container ORDER BY part.p_container;"
636,0.064647,36.124690,36.060043,0,1,1,1,"SELECT part.p_container, COUNT(*) as agg_0, AVG(customer.c_custkey + part.p_partkey) as agg_1, MIN(part.p_retailprice + region.r_regionkey) as agg_2 FROM part JOIN partsupp ON part.p_partkey = partsupp.ps_partkey JOIN supplier ON partsupp.ps_suppkey = supplier.s_suppkey JOIN nation ON supplier.s_nationkey = nation.n_nationkey JOIN region ON nation.n_regionkey = region.r_regionkey JOIN lineitem ON partsupp.ps_partkey = lineitem.l_partkey AND partsupp.ps_suppkey = lineitem.l_suppkey JOIN orders ON lineitem.l_orderkey = orders.o_orderkey JOIN customer ON orders.o_custkey = customer.c_custkey  WHERE (customer.c_mktsegment != 'FURNITURE' OR customer.c_mktsegment = 'MACHINERY' OR customer.c_mktsegment = 'AUTOMOBILE') AND region.r_comment LIKE '%requests.%' AND nation.n_regionkey <= 0.0 AND supplier.s_acctbal >= 7205.587687202361 AND region.r_regionkey <= 3.457874171130414 AND nation.n_name = 'ALGERIA' AND customer.c_custkey >= 14954814.613123443 AND part.p_container LIKE '%L%G%' GROUP BY part.p_container ORDER BY part.p_container;"
653,0.550934,12.038793,11.487859,0,1,1,0,"SELECT orders.o_orderpriority, SUM(orders.o_totalprice) as agg_0, SUM(partsupp.ps_suppkey + lineitem.l_extendedprice) as agg_1, MIN(lineitem.l_suppkey) as agg_2 FROM lineitem JOIN orders ON lineitem.l_orderkey = orders.o_orderkey JOIN partsupp ON lineitem.l_partkey = partsupp.ps_partkey AND lineitem.l_suppkey = partsupp.ps_suppkey JOIN customer ON orders.o_custkey = customer.c_custkey  WHERE partsupp.ps_availqty <= 7336.339853088645 AND partsupp.ps_suppkey >= 62912.516120206936 AND customer.c_nationkey >= 15.77718270258785 AND customer.c_mktsegment = 'AUTOMOBILE' AND (lineitem.l_quantity <= 19.64364348789462 OR lineitem.l_quantity >= 1.8218580299367182) AND orders.o_orderstatus != 'F' AND customer.c_comment NOT LIKE '%beans%' AND lineitem.l_commitdate != '1997-07-22' AND lineitem.l_linestatus IN ('O') AND orders.o_totalprice >= 226282.68549379756 AND lineitem.l_shipinstruct LIKE '%NONE%' AND (partsupp.ps_partkey >= 11400826.707501862 OR partsupp.ps_partkey <= 6214225.806681894) AND orders.o_orderstatus = 'O' AND lineitem.l_receiptdate = '1996-01-20' AND partsupp.ps_supplycost <= 643.8080722445153 AND lineitem.l_shipinstruct LIKE '%BAC%K%' AND lineitem.l_returnflag = 'R' AND customer.c_acctbal <= 4856.561529451145 GROUP BY orders.o_orderpriority HAVING SUM(partsupp.ps_suppkey + lineitem.l_extendedprice) != 538237.2044530609 ORDER BY orders.o_orderpriority;"
